,text,artist,entity_name,playlist_owner,playlist,music_item
0,Add another song to the Cita RomÃ¡ntica playlist.,,,,Cita RomÃ¡ntica,song
1,add clem burke in my playlist Pre-Party R&B Jams,clem burke,,my,Pre-Party R&B Jams,
2,Add Live from Aragon Ballroom to Trapeo,,Live from Aragon Ballroom,,Trapeo,
3,add Unite and Win to my  night out,,Unite and Win,my,night out,
4,Add track to my  Digster Future Hits,,,my,Digster Future Hits,track
5,add the piano bar to my  Cindy Wilson,Cindy Wilson,,my,the piano bar,
6,Add Spanish Harlem Incident to cleaning the house,,Spanish Harlem Incident,,cleaning the house,
7,add The Greyest of Blue Skies in Indie EspaÃ±ol  my playlist,,The Greyest of Blue Skies,my,Indie EspaÃ±ol,
8,Add the name kids in the street to the plylist New Indie Mix,,kids in the street,,New Indie Mix,
9,add album  radar latino,,,,radar latino,album
10,Add Tranquility to the Latin Pop Rising playlist.,,Tranquility,,Latin Pop Rising,
11,Add d flame to the Dcode2016 playlist.,d flame,,,Dcode2016,
12,Add album to my  fairy tales,,,my,fairy tales,album
13,I need another artist in the New Indie Mix playlist.,,,,New Indie Mix,artist
14,Add to playlist i love my neo soul the name national treasure book of secrets,,national treasure book of secrets,,i love my neo soul,
15,Add the fire and the wind to my  Digster Future Hits playlist.,,the fire and the wind,my,Digster Future Hits,
16,add Caleigh Peters to my  women of country list,Caleigh Peters,,my,women of country,
17,add children of telepathic experiences to the playlist named baladas romÃ¡nticas,,children of telepathic experiences,,baladas romÃ¡nticas,
18,add 9th Inning to my  bossa nova dinner playlist,,9th Inning,my,bossa nova dinner,
19,I need another tune in my  legendary guitar solos playlist.,,,my,legendary guitar solos,tune
20,Add Slimm Cutta Calhoun to my  this is prince playlist.,Slimm Cutta Calhoun,,my,this is prince,
21,Add Always to dena's  Baroque 50 Spotify Picks playlist.,,Always,dena's,Baroque 50 Spotify Picks,
22,add song to Sleepytime,,,,Sleepytime,song
23,Add an album to my list La Mejor MÃºsica Dance 2017,,,my,La Mejor MÃºsica Dance 2017,album
24,"add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist",,"Hey, Johnnie Cope, Are Ye Waking Yet",,year in metal 2016,
25,Add the album to the psychedelic rock playlist,,,,psychedelic rock,album
26,Can you add Esquivando charcos to my playlist entitled the piano bar,,Esquivando charcos,my,the piano bar,
27,Add wiktor coj to the Sleep playlist.,wiktor coj,,,Sleep,
28,Incorporate time warp into my  fairy tales playlist.,,time warp,my,fairy tales,
29,add this MakSim  tune to Trad Folk,MakSim,,,Trad Folk,tune
30,add tune to my playlist eletro br,,,my,eletro br,tune
31,Add this tune to my  Dinnertime Acoustics list,,,my,Dinnertime Acoustics,tune
32,add monsters  this is prince playlist,,monsters,,this is prince,
33,add a tune in Chill Vibes,,,,Chill Vibes,tune
34,Can you add a track to my  Spain Top 50 playlist,,,my,Spain Top 50,track
35,put this album by Mike Tramp on Deathcore,Mike Tramp,,,Deathcore,album
36,Add ross the boss to laurie's  listas de Ã©xitos list,ross the boss,,laurie's,listas de Ã©xitos,
37,Add some Beatmaster V to the This Is Nicky Jam playlist.,Beatmaster V,,,This Is Nicky Jam,
38,add paulinho da viola to my  Radio Rock song list,paulinho da viola,,my,Radio Rock,
39,add Eef Barzelay to my  Country Coffeehouse,Eef Barzelay,,my,Country Coffeehouse,
40,Add this artist to queen playlist,,,,queen,artist
41,add Olga Souza to virginia's  femme fatale playlist,Olga Souza,,virginia's,femme fatale,
42,Add an album by m g sreekumar to my  laidback acoustic playlist.,m g sreekumar,,my,laidback acoustic,album
43,Add this album to my  spotify orchestra cello playlist,,,my,spotify orchestra cello,album
44,I want to put goldy mcjohn on my  Rock Party playlist,goldy mcjohn,,my,Rock Party,
45,Add this song to noreen's  fresh finds six strings,,,noreen's,fresh finds six strings,song
46,A Shawnna to the Warm Hearts Feel Good playlist.,Shawnna,,,Warm Hearts Feel Good,
47,Add this tune to Rock Save The Queen,,,,Rock Save The Queen,tune
48,Add Firehouse to my  acoustic soul list.,,Firehouse,my,acoustic soul,
49,add this david cole  track to my  Totally Stress Free,david cole,,my,Totally Stress Free,track
50,Add Progress to my  clÃ¡sica para todos playlist.,,Progress,my,clÃ¡sica para todos,
51,Add the artist  tony thompson to my  canta en la ducha playlist,tony thompson,,my,canta en la ducha,artist
52,Add the artist to my  This Is Mozart playlist.,,,my,This Is Mozart,artist
53,Add this track to downtempo beats,,,,downtempo beats,track
54,Add Quicksand to my  valentine's day love playlist,,Quicksand,my,valentine's day love,
55,Add feel the passion to my  this is kudai playlist.,,feel the passion,my,this is kudai,
56,add this song to my  us latin top 50 playlist,,,my,us latin top 50,song
57,Put this artist in Pachangueo Total,,,,Pachangueo Total,artist
58,add vl mike to my  Dcode2016 playlist,vl mike,,my,Dcode2016,
59,add how to my  week end playlist,,how,my,week end,
60,Add Norma Jean to my  pure rock & roll playlist.,Norma Jean,,my,pure rock & roll,
61,Add Kirk Hammett to Calm Down,Kirk Hammett,,,Calm Down,
62,Add On with the Show to my  Beast Mode playlist,,On with the Show,my,Beast Mode,
63,add kjetil vidar haraldstad to listas de Ã©xitos,kjetil vidar haraldstad,,,listas de Ã©xitos,
64,can you add xanadu to Latin Alternative Music,,xanadu,,Latin Alternative Music,
65,add this track to krystal's  piano 100,,,krystal's,piano 100,track
66,Can you put this track onto the playlist the selektor ?,,,,the selektor,track
67,my  jazz for loving couples needs more push the button,,push the button,my,jazz for loving couples,
68,add the album  the martin garrix show to my playlist,,,my,the martin garrix show,album
69,add gina schock to workout twerkout,gina schock,,,workout twerkout,
70,Add this tune to cristina's  endorphin rush playlist,,,cristina's,endorphin rush,tune
71,add this tune to my  It's a Southern Thing playlist,,,my,It's a Southern Thing,tune
72,add Ik Tara to laundry playlst,,Ik Tara,,laundry,
73,Add this tune to This Is Nicky Jam,,,,This Is Nicky Jam,tune
74,Can you add something by the artist  Paul Cargnello to my  Chill Tracks playlist,Paul Cargnello,,my,Chill Tracks,artist
75,add Runaljod gap var Ginnunga to ashlee's playlist titled forever country,,Runaljod gap var Ginnunga,ashlee's,forever country,
76,Put The Orange and the Green on Los 40 Radio Ãxitos,,The Orange and the Green,,Los 40 Radio Ãxitos,
77,Add an album by Liza Oumarova to the Steampunk playlist.,Liza Oumarova,,,Steampunk,album
78,Please add a song to ines's playlist called Metal Party,,,ines's,Metal Party,song
79,For playlist todo latino add Absolutely Sweet Marie,,Absolutely Sweet Marie,,todo latino,
80,add gn to night vibes,,gn,,night vibes,
81,Can you add Blood On The Face to the playlist called Heartland Country,,Blood On The Face,,Heartland Country,
82,The spring classical playlist needs Partners in Crime added to it.,,Partners in Crime,,spring classical,
83,add the artist  Tomohisa Yamashita to the conexiones playlist,Tomohisa Yamashita,,,conexiones,artist
84,Add Written in Red to my  cleaning the house playlist.,,Written in Red,my,cleaning the house,
85,Add cordell mosson to my  i love my neo soul list,cordell mosson,,my,i love my neo soul,
86,add album to Feeling Blue,,,,Feeling Blue,album
87,I want to put another album into the a peaceful rush hour playlist.,,,,a peaceful rush hour,album
88,Open my  acoustic concentration playlist and play an entire album,,,my,acoustic concentration,album
89,add sonntag to my  Assassin's Creed,,sonntag,my,Assassin's Creed,
90,I want more francis healy in the Rockin' Vibes playlist.,francis healy,,,Rockin' Vibes,
91,add gareth gates to my  autumn playlist,gareth gates,,my,autumn,
92,add tune to sxsw fresh playlist,,,,sxsw fresh,tune
93,add track to todo latino,,,,todo latino,track
94,Add to my  verano list a song by andy lee,andy lee,,my,verano,song
95,Add song to my  Club Hits,,,my,Club Hits,song
96,add this tune to my playlist titled uncharted 4 nathan drake,,,my,uncharted 4 nathan drake,tune
97,Add 100% te ljubam to the Hit Remix playlist,,100% te ljubam,,Hit Remix,
98,Put this album on totally alternative,,,,totally alternative,album
