,text,party_size_number,spatial_relation,facility,timeRange,sort,country,party_size_description,restaurant_type,restaurant_name,cuisine,served_dish,state,poi,city
0,book The Middle East  restaurant in IN for noon,,,,noon,,,,restaurant,The Middle East,,,IN,,
1,Book a table at T-Rex  distant from Halsey St .,,distant,,,,,,,T-Rex,,,,Halsey St,
2,I'd like to eat at a taverna that serves chili con carne for a party of 10 ,10,,,,,,,taverna,,,chili con carne,,,
3,I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd .,four,,,Aug. the 3rd,,Japan,,,Rimsky-Korsakoffee House,,,,,
4,"Please make a restaurant reservation for somewhere in Mondovi , Connecticut .",,,,,,,,restaurant,,,,Connecticut,,Mondovi
5,book a spot far from Ãland,,far,,,,Ãland,,,,,,,,
6,I'd like to eat at the best  restaurant in Coalton,,,,,best,,,restaurant,,,,,,Coalton
7,book a taverna that serves vichyssoise  within walking distance in OH,,within walking distance,,,,,,taverna,,,vichyssoise,OH,,
8,I want to book a popular  tyrolean  steakhouse in Madison Park  WA  in 1 hour nine minutes and one second,,,,in 1 hour nine minutes and one second,popular,,,steakhouse,,tyrolean,,WA,,Madison Park
9,Find a table for 8 somewhere in Bonaire  in 345 days,8,,,in 345 days,,Bonaire,,,,,,,,
10,Book a restaurant with parking facility for 3 .,3,,parking,,,,,restaurant,,,,,,
11,"please book a room in Spaghetti Warehouse for catalina, delores and brandie mendoza at 12 AM",,,,12 AM,,,"catalina, delores and brandie mendoza",,Spaghetti Warehouse,,,,,
12,"I need a table for 1 at a highly rated  restaurant  next autumn in Emmons , RI",1,,,next autumn,highly rated,,,restaurant,,,,RI,,Emmons
13,book a spot in 1 second that is neighboring  robin's hotel,,neighboring,,in 1 second,,,,,,,,,robin's hotel,
14,patty and I need a table booked at a highly rated  restaurant in Sandstone .,,,,,highly rated,,patty and I,restaurant,,,,,,Sandstone
15,Make a reservation for four at a pub in Sugarville .,four,,,,,,,pub,,,,,,Sugarville
16,book a table for a Macedonia  restaurant,,,,,,Macedonia,,restaurant,,,,,,
17,I'd like to go to a halal  restaurant  in twenty minutes  around the District Of Columbia and book seats for four,four,around,,in twenty minutes,,,,restaurant,,halal,,District Of Columbia,,
18,Book a table for 10 people at Dunbrody Country House Hotel in Strandburg .,10,,,,,,,,Dunbrody Country House Hotel,,,,,Strandburg
19,Book a table in a Haines Borough  restaurant for nine that is within walking distance .,nine,within walking distance,,,,,,restaurant,,,,,Haines Borough,
20,book midday at a faraway  cuban place for five at a top-rated  bakery in Grainola,five,faraway,,midday,top-rated,,,bakery,,cuban,,,,Grainola
21,Book a bakery with smoking room for nine in Niger .,nine,,smoking room,,,Niger,,bakery,,,,,,
22,Book a restaurant for ten in OK .,ten,,,,,,,restaurant,,,,OK,,
23,Book the Gus Stevens Seafood Restaurant & Buccaneer Lounge in Papua New Guinea for one person.,one,,,,,Papua New Guinea,,,Gus Stevens Seafood Restaurant & Buccaneer Lounge,,,,,
24,book a Boon Brick Store for my grandkid and I at Evans Mills,,,,,,,my grandkid and I,,Boon Brick Store,,,,,Evans Mills
25,Book a pub with fisn'n chips in Timberville .,,,,,,,,pub,,,fisn'n chips,,,Timberville
