,text,service,sort,genre,artist,track,playlist,year,album,music_item
0,I need to hear the song  Aspro Mavro from Bill Szymczyk on Youtube,Youtube,,,Bill Szymczyk,Aspro Mavro,,,,song
1,play Yo Ho from the new york pops on Youtube,Youtube,,,the new york pops,Yo Ho,,,,
2,Play some seventies music by Janne Puurtinen on Youtube .,Youtube,,,Janne Puurtinen,,,seventies,,
3,play the MÃºsica Da SÃ©rie De Filmes O Hobbit  album by Alex Otaola,,,,Alex Otaola,,,,MÃºsica Da SÃ©rie De Filmes O Hobbit,album
4,Play Magic Sam from the thirties,,,,Magic Sam,,,thirties,,
5,Play The Soft Parade .,,,,,The Soft Parade,,,,
6,Play music by blowfly from the seventies,,,,blowfly,,,seventies,,
7,play Jeff Pilson on Youtube,Youtube,,,Jeff Pilson,,,,,
8,play a tune by Syreeta Wright from twenties from the top,,top,,Syreeta Wright,,,twenties,,tune
9,Please play me Jerry Lee Lewis 's If You Say So  track .,,,,Jerry Lee Lewis,If You Say So,,,,track
10,play the newest by Exuma,,newest,,Exuma,,,,,
11,Play the album  alas y raÃ­ces by Dave Pybus .,,,,Dave Pybus,,,,alas y raÃ­ces,album
12,play music by Helen Ward,,,,Helen Ward,,,,,
13,Play some sixties music.,,,,,,,sixties,,
14,Plan an album by Roni Duani .,,,,Roni Duani,,,,,album
15,I want to listen to Born On The Bayou on Iheart,Iheart,,,,Born On The Bayou,,,,
16,Play the best music by Arthur Johnston .,,best,,Arthur Johnston,,,,,
17,Play the song  gangsta ? by Siavash Ghomayshi,,,,Siavash Ghomayshi,gangsta,,,,song
18,Play Lukasz Gottwald  album on Zvooq,Zvooq,,,Lukasz Gottwald,,,,,album
19,Play me some music by Prince Alla from the twenties,,,,Prince Alla,,,twenties,,
20,Play the newest  2016  ep from Boaz Mauda .,,newest,,Boaz Mauda,,,2016,,ep
21,play Escapada,,,,,,Escapada,,,
22,"I'd like to hear music from 1951 , preferably a soundtrack .",,,,,,,1951,,soundtrack
23,Play 2003  Ben Burnley on Spotify,Spotify,,,Ben Burnley,,,2003,,
24,Play Marche Lorraine by Rachael Lampa,,,,Rachael Lampa,Marche Lorraine,,,,
25,Play some soul music,,,soul,,,,,,
26,Play Robin Hood Rescuing Three Squires by Bhupinder Singh,,,,Bhupinder Singh,Robin Hood Rescuing Three Squires,,,,
27,Play the top-5 songs from Paddy Reilly on zvooq,zvooq,top-5,,Paddy Reilly,,,,,
28,Open Groove Shark and play native us,Groove Shark,,native us,,,,,,
29,play chant by Prurient,,,,Prurient,,,,,chant
30,play Shake Your Head,,,,,Shake Your Head,,,,
31,Play Justin Broadrick 's music on Slacker .,Slacker,,,Justin Broadrick,,,,,
32,Play some 1954 songs on my Itunes .,Itunes,,,,,,1954,,
33,Play a 2011  ballad by Evil Jared Hasselhoff on Lastfm .,Lastfm,,,Evil Jared Hasselhoff,,,2011,,ballad
34,play laura love songs from 1959,,,,laura love,,,1959,,
35,Play Inside The Eye by twinkie clark,,,,twinkie clark,,,,Inside The Eye,
36,Play Goa music on Google Music .,Google Music,,Goa,,,,,,
37,Play The Way It Has To Be by Tom G Warrior on Zvooq,Zvooq,,,Tom G Warrior,,,,The Way It Has To Be,
38,Play some nineties  chant music from Nicoleta Nicola,,,,Nicoleta Nicola,,,nineties,,chant
39,"Play Alone, Again from Mike Viola",,,,Mike Viola,,,,"Alone, Again",
40,open Spotify and play a couple of celtic songs,Spotify,,celtic,,,,,,
41,Play a concerto by Thekra .,,,,Thekra,,,,,concerto
42,play The Trail Of The Lonesome Pine on Netflix,Netflix,,,,The Trail Of The Lonesome Pine,,,,
43,Please play the newest music by Evil Jared Hasselhoff,,newest,,Evil Jared Hasselhoff,,,,,
44,Play NoctÃ¡mbulo pl,,,,,,NoctÃ¡mbulo,,,
45,Open up Lastfm and play some songs.,Lastfm,,,,,,,,
46,Can you play a top 5  song by Manos Hadjidakis,,top 5,,Manos Hadjidakis,,,,,song
47,Play sixties on Spotify,Spotify,,,,,,sixties,,
48,Play music by Antonella Barba from the album  Bath,,,,Antonella Barba,,,,Bath,album
49,Play melody music from the fourties .,,,,,,,fourties,,melody
50,Play some Katiejane Garside on Vimeo .,Vimeo,,,Katiejane Garside,,,,,
51,Play me a top-ten  song by Phil Ochs on Groove Shark,Groove Shark,top-ten,,Phil Ochs,,,,,song
52,Play Out From Under from Hurricane Chris,,,,Hurricane Chris,Out From Under,,,,
53,Play a sound track by Pee Wee Russell on Zvooq .,Zvooq,,,Pee Wee Russell,,,,,sound track
54,Play One Way Ticket by Ray Kennedy .,,,,Ray Kennedy,One Way Ticket,,,,
55,Play my entertaining playlist,,,,,,entertaining,,,
56,Will you pull up my Jueves de AntaÃ±o playlist,,,,,,Jueves de AntaÃ±o,,,
57,Play some eighties  movement music,,,,,,,eighties,,movement
58,Use Spotify to play me music,Spotify,,,,,,,,
59,use Deezer to play top five  Moya Brennan,Deezer,top five,,Moya Brennan,,,,,
60,I'd like to hear Nas 's greatest  ballad,,greatest,,Nas,,,,,ballad
61,Open Netflix and find a movie with the song  heartful,Netflix,,,,,heartful,,,song
62,PLay some fourties music from Erin Harkes,,,,Erin Harkes,,,fourties,,
63,Play dhafer youssef  top-twenty on netflix,netflix,top-twenty,,dhafer youssef,,,,,
64,I'd like to play the top ten  Mickdeth on Google Music,Google Music,top ten,,Mickdeth,,,,,
65,play music by Don Reno,,,,Don Reno,,,,,
66,Play some Last Fm music like the 1992  ep from Peaches,Last Fm,,,Peaches,,,1992,,ep
67,Play some indie music on spotify .,spotify,,indie,,,,,,
68,Play a cohesive playlist for me,,,,,,cohesive,,,
69,Play 1966  theme music on Slacker .,Slacker,,,,,,1966,,theme
70,Play some jpop on Google Music .,Google Music,,jpop,,,,,,
71,Play music from 2002,,,,,,,2002,,
72,play Lastfm  pop tunes,Lastfm,,pop,,,,,,
73,play a concerto that was most popular in 1958 by mickey hart,,most popular,,mickey hart,,,1958,,concerto
74,Let me listen to Rouhollah Khaleghi on deezer .,deezer,,,Rouhollah Khaleghi,,,,,
75,Please play music from Itunes,Itunes,,,,,,,,
76,Play me the most popular  Peja  song on Slacker,Slacker,most popular,,Peja,,,,,song
77,Play my 70s Smash Hits playlist.,,,,,,70s Smash Hits,,,
78,Play me a song from the fourties,,,,,,,fourties,,song
79,Play celtic music,,,celtic,,,,,,
80,play Moustapha Amar  Make It Rain,,,,Moustapha Amar,Make It Rain,,,,
81,I want to hear a top ten  soundtrack from 1984 by Shinehead,,top ten,,Shinehead,,,1984,,soundtrack
82,Play the 1951  ballad,,,,,,,1951,,ballad
83,I want to hear Dave Seaman 's ep,,,,Dave Seaman,,,,,ep
84,Play music from artist Ashley,,,,Ashley,,,,,
85,play Miguelito  top charting album,,top,,Miguelito,,,,,album
86,I want to hear Papa Mali 's songs from the fifties,,,,Papa Mali,,,fifties,,
87,play some tango on iheart,iheart,,tango,,,,,,
88,Play jazz music by Zvooq,Zvooq,,jazz,,,,,,
89,play songs by Wise,,,,Wise,,,,,
90,Play music from the eighties on Slacker .,Slacker,,,,,,eighties,,
91,I want to hear Ready by Frankenstein Drag Queens From Planet 13,,,,Frankenstein Drag Queens From Planet 13,,,,Ready,
92,Play a song from the seventies by Pepe Aguilar,,,,Pepe Aguilar,,,seventies,,song
93,Play something by Brian Chase .,,,,Brian Chase,,,,,
94,open Fadl Shaker on Spotify and play a melody starting with the newest,Spotify,newest,,Fadl Shaker,,,,,melody
95,Play a Scott Lafaro  soundtrack,,,,Scott Lafaro,,,,,soundtrack
96,play songs from the sixties,,,,,,,sixties,,
97,Play a tune from Space Mandino .,,,,Space Mandino,,,,,tune
98,Open Vimeo and paly every  song released in 1986,Vimeo,,,,every,,1986,,song
99,Find me music by Kaori Utatsuki off the album that has top-twenty hits,,top-twenty,,Kaori Utatsuki,,,,,album
100,Play my playlist TGIF on itunes,itunes,,,,,TGIF,,,
101,Play some thrash metal .,,,thrash metal,,,,,,
102,play a top-10  ballad from 1995,,top-10,,,,,1995,,ballad
103,Play ballad from Mandy Moore,,,,Mandy Moore,,,,,ballad
104,Play movement music from Sheryfa Luna,,,,Sheryfa Luna,,,,,movement
105,Play the artist Joe,,,,Joe,,,,,
106,play some Prabha Atre,,,,Prabha Atre,,,,,
107,Play ballad music by Jeff Lynne .,,,,Jeff Lynne,,,,,ballad
108,Play me a 1957  ep,,,,,,,1957,,ep
109,Play Pease Porridge Hot by Johnny Vicious on Zvooq,Zvooq,,,Johnny Vicious,Pease Porridge Hot,,,,
110,play a 1994  tune by Lena Horne,,,,Lena Horne,,,1994,,tune
111,Play a tune by Houston on Spotify,Spotify,,,Houston,,,,,tune
112,Play a top fifty  track from the twenties,,top fifty,,,,,twenties,,track
113,Play Sense Tu from Ebi Hamedi,,,,Ebi Hamedi,Sense Tu,,,,
114,play a good  John Maher  record with Netflix,Netflix,good,,John Maher,,,,,record
115,"use netflix to play Bizzy Bone  Kiss Me Goodnight, Sergeant Major",netflix,,,Bizzy Bone,"Kiss Me Goodnight, Sergeant Major",,,,
116,Play music from 1969 on lastfm .,lastfm,,,,,,1969,,
117,play something from 1981,,,,,,,1981,,
118,play Heavy Machinery by Phil Spector on Zvooq,Zvooq,,,Phil Spector,,,,Heavy Machinery,
119,Play i believe from Chico Buarque off of iheart,iheart,,,Chico Buarque,i believe,,,,
120,Play some symphonic rock .,,,symphonic rock,,,,,,
121,Play some twenties  chant music on Slacker,Slacker,,,,,,twenties,,chant
122,Play some songs from the fifties,,,,,,,fifties,,
123,Play a song by Electric Tones from their Kurutta TaiyÅ  album on Last Fm,Last Fm,,,Electric Tones,,,,Kurutta TaiyÅ,album
124,play some Bertine Zetlitz  record,,,,Bertine Zetlitz,,,,,record
125,"Play my Hardstyle, Baby playlist on Netflix",Netflix,,,,,"Hardstyle, Baby",,,
126,Play the top  symphony music from Ejigayehu Shibabaw,,top,,Ejigayehu Shibabaw,,,,,symphony
127,Open Itunes and play Heath music from 1981,Itunes,,,Heath,,,1981,,
128,I want to listen to a concerto from Timour Moutsouraev .,,,,Timour Moutsouraev,,,,,concerto
129,Play me the dinner playlist,,,,,,dinner,,,
130,play music by Shinji Miyazaki,,,,Shinji Miyazaki,,,,,
131,Play any music on Spotify,Spotify,,,,,,,,
