,text,object_name,best_rating,rating_value,object_select,object_type,object_part_of_series_type,rating_unit
0,rate The Lotus and the Storm  zero of 6 ,The Lotus and the Storm,6,zero,,,,
1,Rate The Fall-Down Artist  5  stars .,The Fall-Down Artist,,5,,,,stars
2,Rate the current  novel  one  points,,,one,current,novel,,points
3,rate The Ape-Man Within  4,The Ape-Man Within,,4,,,,
4,I give The Penalty  three  stars,The Penalty,,three,,,,stars
5,rate this  novel a 4 ,,,4,this,novel,,
6,"give 5 out of 6  points to Absolutely, Positively Not  series","Absolutely, Positively Not",6,5,,,series,points
7,"I give Emile, or On Education  five  points .","Emile, or On Education",,five,,,,points
8,rate Licence Renewed a 4,Licence Renewed,,4,,,,
9,Give this  essay a 2 out of 6 .,,6,2,this,essay,,
10,A rating of 5 of 6  points goes to Dickson McCunn trilogy,Dickson McCunn trilogy,6,5,,,,points
11,rate Beyond the Shadows  3 of 6  stars,Beyond the Shadows,6,3,,,,stars
12,Give 2 out of 6  points to the following  textbook .,,6,2,following,textbook,,points
13,the previous  textbook is a 3,,,3,previous,textbook,,
14,Rate this  album  zero of 6 ,,6,zero,this,album,,
15,rate in stars as a 6 for Lord of the Shadows which gets a four,Lord of the Shadows,6,four,,,,stars
16,"Rate Small Screen, Big Picture a 0 out of 6 .","Small Screen, Big Picture",6,0,,,,
17,give 0  stars to this  textbook,,,0,this,textbook,,stars
18,Rate the current  novel a 0 out of 6  points,,6,0,current,novel,,points
19,give this  book a rating of 3 ,,,3,this,book,,
20,Rate the Tropic of Cancer  book a 2 out of 6,Tropic of Cancer,6,2,,book,,
21,I would give this current  textbook  five  points or a rating of 6,,6,five,current,textbook,,points
22,give The Judas Tree a zero,The Judas Tree,,zero,,,,
23,I am rating this book titled The Billion Dollar Ransom  3  stars .,The Billion Dollar Ransom,,3,,book,,stars
24,I would give Sixty Lights  chronicle a rating of five and a best rating of 6,Sixty Lights,6,five,,,chronicle,
25,rate this book titled Cold  two  stars,Cold,,two,,book,,stars
26,I want to rate this current  series a value of five and a best rating of 6,,6,five,current,,series,
27,Rate the current  book a zero of 6,,6,zero,current,book,,
28,Rate this  novel  1 of 6,,6,1,this,novel,,
29,I would rate this  chronicle  4  stars,,,4,this,,chronicle,stars
30,Give A Human Being Died That Night  3  stars ,A Human Being Died That Night,,3,,,,stars
31,I'm rating The Skystone with three  points,The Skystone,,three,,,,points
32,rate this current  saga  3 out of 6  points,,6,3,current,,saga,points
33,Rate the Wild Boy  series  3 out of 6  stars,Wild Boy,6,3,,,series,stars
34,Rate this  album a one .,,,one,this,album,,
35,Rate the Glory Season  three  stars,Glory Season,,three,,,,stars
36,Give this  textbook  5  points,,,5,this,textbook,,points
