,text,spatial_relation,timeRange,movie_name,object_type,object_location_type,movie_type,location_name
0,What are the movie schedule at Malco Theatres,,,,movie schedule,,,Malco Theatres
1,I want to get the movie schedule,,,,movie schedule,,,
2,Show me movie time for I Am Sorry at my movie house,,,I Am Sorry,,movie house,,
3,Find time for Trouble for Two  in one minute at Landmark Theatres,,in one minute,Trouble for Two,,,,Landmark Theatres
4,Please show me the movie schedule for movies playing in the neighborhood .,in the neighborhood,,,movie schedule,,movies,
5,What are the time for movies playing at Star Theatres ?,,,,,,movies,Star Theatres
6,What time are the animated movies playing at Mann Theatres ?,,,,,,animated movies,Mann Theatres
7,I'm wondering what cinema is playing Peters baby .,,,Peters baby,,cinema,,
8,i want the movie schedules for movies  around here,around here,,,movie schedules,,movies,
9,What movies are playing at the nearest  movie house,nearest,,,,movie house,movies,
10,find Wild at Heart,,,Wild at Heart,,,,
11,She me the movie times,,,,movie times,,,
12,What movie theatre is playing Sherlock Holmes and Dr. Watson  fifteen hours and one minute from now,,fifteen hours and one minute from now,Sherlock Holmes and Dr. Watson,,movie theatre,,
13,What is the local movie times,,,,movie times,,,
14,find a movie house showing Cage Without a Key,,,Cage Without a Key,,movie house,,
15,What time is are movies at the closest  movie theatre,closest,,,,movie theatre,movies,
16,Find the nearest  movie house that's showing movies,nearest,,,,movie house,movies,
17,find some close by  movies,close by,,,,,movies,
18,where is Wild America showing at zero P.M.,,zero P.M.,Wild America,,,,
19,I'd like to see Snowball Express,,,Snowball Express,,,,
20,find movie schedules at Goodrich Quality Theaters,,,,movie schedules,,,Goodrich Quality Theaters
21,When is Beyond My Reach scheduled at the nearest  cinema ?,nearest,,Beyond My Reach,,cinema,,
22,Find the schedule for films at Cobb Theatres .,,,,schedule,,films,Cobb Theatres
23,find 16 starting time for Heavenly Body,,16,Heavenly Body,,,,
24,What animated movies are playing close by at four o'clock ?,close by,four o'clock,,,,animated movies,
25,Find the movie schedule for films  in the area .,in the area,,,movie schedule,,films,
26,What AMC Theaters is The Red Dance playing at?,,,The Red Dance,,,,AMC Theaters
27,show movie times at Megaplex Theatres,,,,movie times,,,Megaplex Theatres
28,What is the movie schedule at the Fox Theatres,,,,movie schedule,,,Fox Theatres
29,find movie times,,,,movie times,,,
30,give me the movie schedule,,,,movie schedule,,,
31,Find me Third Man on the Mountain at a cinema,,,Third Man on the Mountain,,cinema,,
32,I'd like to watch The Utopian Society,,,The Utopian Society,,,,
33,can you give me the movie times,,,,movie times,,,
34,What time is A Ball at the Anjo House playing,,,A Ball at the Anjo House,,,,
35,What is the closest  movie theatre that is playing animated movies,closest,,,,movie theatre,animated movies,
36,Check movie schedules and find which animated movies are being aired in the neighborhood movie halls.,in the neighborhood,,,movie schedules,,animated movies,
37,Find the schedule for The Voice in the Fog at night at the closest  movie house .,closest,night,The Voice in the Fog,schedule,movie house,,
38,When is Barbary Coast playing?,,,Barbary Coast,,,,
39,is Terminal Station at Cinemark Theatres,,,Terminal Station,,,,Cinemark Theatres
40,I'd like to watch Sherlock Holmes à New York at KB Theatres,,,Sherlock Holmes à New York,,,,KB Theatres
41,What time is movies playing around here,around here,,,,,movies,
42,Show me the movie schedule for Caribbean Cinemas,,,,movie schedule,,,Caribbean Cinemas
43,Show me the movie schedules for Santikos Theatres .,,,,movie schedules,,,Santikos Theatres
44,Is Live Forever: The Rise and Fall of Brit Pop playing at the closest  cinema  in 1 minute,closest,in 1 minute,Live Forever: The Rise and Fall of Brit Pop,,cinema,,
45,Check which cinema currently runs When the Last Sword is Drawn .,,,When the Last Sword is Drawn,,cinema,,
46,find a movie house with Colic: The Movie that is nearest,nearest,,Colic: The Movie,,movie house,,
47,Tell me what films are currently playing at AMC Theaters,,,,,,films,AMC Theaters
48,find movies with movie schedules  in the neighborhood,in the neighborhood,,,movie schedules,,movies,
49,what movie theatre is showing If the Huns Came to Melbourne,,,If the Huns Came to Melbourne,,movie theatre,,
